Arabic Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
فوجئ,0,0,0,0,0,0,0,0,0,0
طبلية تاج,0,0,0,0,0,0,0,0,0,1
تخلى,0,0,0,1,0,1,0,1,0,0
مهجور,1,0,0,1,0,1,0,1,0,0
التخلي عن,1,0,0,1,0,1,0,1,1,0
خف,0,0,0,0,0,0,0,0,0,0
تخفيف,0,0,0,0,0,0,0,0,0,0
أبا,0,0,0,0,0,0,1,0,0,0
رئيس الدير,0,0,0,0,0,0,0,0,0,1
اختصر,0,0,0,0,0,0,0,0,0,0
اختصار,0,0,0,0,0,0,0,0,0,0
البطن,0,0,0,0,0,0,0,0,0,0
البطني,0,0,0,0,0,0,0,0,0,0
اختطاف,0,0,0,1,0,1,0,1,1,0
ضلال,0,0,0,0,0,1,0,0,0,0
انحراف,0,0,1,0,0,1,0,0,0,0
تعليق,0,0,0,0,0,0,0,0,0,0
يبغض,1,0,1,1,0,1,0,0,0,0
مقيت,1,0,1,1,0,1,0,0,0,0
يلتزم,0,0,0,0,0,0,0,0,0,0
قدرة,0,0,0,0,0,0,1,0,0,0
حقير,0,0,1,0,0,1,0,0,0,0
استئصال,0,0,0,0,0,0,0,0,0,0
مشتعل,0,0,0,0,0,0,0,0,0,0
غير طبيعي,0,0,1,0,0,1,0,0,0,0
على متن سفينة,0,0,0,0,0,0,0,0,0,0
مسكن,0,0,0,0,0,0,0,0,0,0
تلغي,1,0,0,0,0,1,0,0,0,0
إلغاء,0,0,0,0,0,1,0,0,0,0
بغيضة,0,0,1,1,0,1,0,0,0,0
"رجس - مقت شديد، عمل بغيض",1,0,1,1,0,1,0,0,0,0
من السكان الأصليين,0,0,0,0,0,0,0,0,0,0
إجهاض,0,0,0,0,0,1,0,0,0,0
إجهاض,0,0,1,1,0,1,0,1,0,0
مجهض,0,0,0,0,0,1,0,1,0,0
يزخر,0,0,0,0,0,0,0,0,0,0
المذكورة أعلاه,0,0,0,0,0,0,1,0,0,0
تآكل,0,0,0,0,0,1,0,0,0,0
خارج البلاد,0,0,0,0,0,0,0,0,0,0
فسخ,0,0,0,0,0,1,0,0,0,0
شديد الأنحدار,0,0,0,0,0,0,0,0,1,0
بشكل مفاجئ,0,0,0,0,0,0,0,0,0,0
خراج,0,0,0,0,0,1,0,1,0,0
غياب,0,0,0,1,0,1,0,1,0,0
غائب,0,0,0,0,0,1,0,1,0,0
متغيب عن العمل,0,0,0,0,0,1,0,1,0,0
التغيب,0,0,0,0,0,1,0,0,0,0
الأفسنتين,0,0,0,0,0,0,0,0,0,0
مطلق,0,0,0,0,0,0,1,0,0,0
الغفران,0,0,0,0,1,0,1,0,0,1
يمتص,0,0,0,0,0,0,1,0,0,0
ماص,0,0,0,0,0,0,0,0,0,0
تمتص,0,0,0,0,0,0,0,0,0,0
استيعاب,0,0,0,0,0,0,0,0,0,0
امتنع,0,0,0,0,0,0,0,0,0,0
الامتناع,0,0,0,0,0,0,0,0,0,0
الامتناع,0,0,0,0,0,0,0,0,0,0
نبذة مختصرة,0,0,0,0,0,0,0,0,0,0
التجريد,0,0,0,0,0,0,0,0,0,0
سخيف,0,0,0,0,0,1,0,0,0,0
سخافة,0,0,0,0,0,1,0,0,0,0
وفرة,0,1,1,0,1,1,1,0,0,1
وفير,0,0,0,0,1,0,1,0,0,0
تعاطي,1,0,1,1,0,1,0,1,0,0
دعامة,0,0,0,0,0,0,0,0,0,0
أبي,0,0,0,0,0,0,0,0,0,0
سيئ,0,0,0,0,0,1,0,1,0,0
هاوية,0,0,0,1,0,1,0,1,0,0
أكاديمي,0,0,0,0,0,0,1,0,0,1
الأكاديمية,0,0,0,0,0,0,1,0,0,0
تنضم,0,0,0,0,0,0,0,0,0,0
تسريع,0,1,0,0,0,0,0,0,0,0
التسريع,0,0,0,0,0,0,0,0,0,0
لهجة,0,0,0,0,0,0,0,0,0,0
إبراز,0,0,0,0,0,0,0,0,0,0
قبول,0,0,0,0,0,0,0,0,0,0
مقبول,0,0,0,0,0,0,1,0,0,0
قبول,0,0,0,0,0,0,1,0,0,0
التمكن من,0,0,0,0,0,0,0,0,0,0
يمكن الوصول,0,0,0,0,0,0,1,0,0,0
انضمام,0,0,0,0,0,0,0,0,0,0
ملحق,0,0,0,0,0,0,0,0,0,0
حادثة,0,0,0,1,0,1,0,1,1,0
عرضي,0,0,0,1,0,1,0,0,1,0
بطريق الخطأ,0,0,0,0,0,0,0,0,1,0
احتضان,0,1,0,0,1,0,1,0,1,1
يستوعب,0,0,0,0,0,0,0,0,0,0
الإقامة,0,0,0,0,0,0,1,0,0,0
مرافقة,0,1,0,0,1,0,1,0,0,1
مرافقة,0,0,0,0,0,0,0,0,0,0
مصاحب,0,0,0,0,0,0,0,0,0,0
شريك,0,0,0,0,0,0,0,0,0,0
ينجز,0,0,0,0,1,0,1,0,0,0
مُتَفَوِّق,0,0,0,0,1,0,1,0,0,0
إنجاز,0,0,0,0,0,0,1,0,0,0
اتفاق,0,0,0,0,0,0,1,0,0,1
وفقا,0,0,0,0,0,0,0,0,0,0
الأكورديون,0,0,0,0,0,0,0,0,0,0
الحساب,0,0,0,0,0,0,0,0,0,1
مسئولية,0,0,0,0,0,0,1,0,0,1
مسؤول,0,0,0,0,0,0,1,0,0,1
محاسب,0,0,0,0,0,0,0,0,0,1
محاسبة,0,0,0,0,0,0,0,0,0,0
حسابات,0,0,0,0,0,0,0,0,0,1
معتمد,0,0,0,0,0,0,1,0,0,1
التراكم,0,0,0,0,0,0,0,0,0,0
تعود,0,0,0,0,0,0,0,0,0,0
Accueil,0,0,0,0,0,0,1,0,0,0
جمع,0,0,0,0,0,0,0,0,0,0
تراكم,0,0,0,0,0,0,0,0,0,0
صحة,0,0,0,0,0,0,0,0,0,0
دقيق,0,0,0,0,0,0,1,0,0,1
ملعون,1,0,0,1,0,1,0,1,0,0
الاتهام,1,0,1,0,0,1,0,0,0,0
حالة النصب,0,0,0,0,0,1,0,0,0,0
المتهم,1,0,0,1,0,1,0,0,0,0
المتهم,1,0,0,1,0,1,0,0,0,0
يتهم,1,0,0,1,0,1,0,0,0,0
معتاد,0,0,0,0,0,0,0,0,0,0
أجاد,0,0,0,0,0,0,1,0,0,0
اسيتيك,0,0,0,0,0,0,0,0,0,0
وجع,0,0,0,0,0,1,0,1,0,0
التوصل,0,0,0,0,1,0,1,0,0,1
إنجاز,0,1,0,0,1,0,1,0,0,1
وجع,0,0,0,0,0,1,0,1,0,0
حامض,0,0,0,0,0,1,0,0,0,0
حموضة,0,0,0,0,0,0,0,0,0,0
يُقرّ,0,0,0,0,0,0,0,0,0,0
اعترف,0,0,0,0,0,0,0,0,0,0
إعتراف,0,0,0,0,0,0,1,0,0,0
ذروة,0,0,0,0,0,0,0,0,0,0
صوتي,0,0,0,0,0,0,0,0,0,0
الصوتيات,0,0,0,0,0,0,0,0,0,0
إطلاع الشخص علي,0,0,0,0,0,0,0,0,0,0
التعارف,0,0,0,0,0,0,0,0,0,0
تعرف,0,0,0,0,0,0,0,0,0,0
إذعان على مضض,0,0,0,0,0,0,0,0,0,0
يستحوذ على,0,0,0,0,0,0,1,0,0,0
الحصول,0,1,0,0,0,0,1,0,0,0
استحواذ,0,0,0,0,0,0,0,0,0,0
المقتنيات,0,0,0,0,0,0,0,0,0,0
مساحة,0,0,0,0,0,0,0,0,0,0
فدان,0,0,0,0,0,0,0,0,0,0
بهلوان,0,0,0,1,1,0,1,0,0,1
فعل,0,0,0,0,0,0,0,0,0,0
التمثيل,0,0,0,0,0,0,0,0,0,0
عمل,0,0,0,0,0,0,1,0,0,0
فعالة,1,0,1,0,0,1,0,0,0,0
نشيط,0,0,0,0,0,0,0,0,0,0
نشاط,0,0,0,0,0,0,0,0,0,0
الممثل,0,0,0,0,0,0,0,0,0,0
فِعلي,0,0,0,0,0,0,1,0,0,0
حقيقة,0,0,0,0,0,0,0,0,0,0
الخبير الاكتواري,0,0,0,0,0,0,0,0,0,0
حدة,0,0,0,0,0,0,1,0,0,0
الفطنة,0,0,0,0,0,0,1,0,0,0
العلاج بالإبر,0,0,0,0,0,0,0,0,0,0
بشكل حاد,0,0,0,0,0,0,0,0,0,0
القول المأثور,0,0,0,0,0,0,0,0,0,0
مصر على رأيه,0,0,0,0,0,0,0,0,0,0
يتكيف,0,0,0,0,0,0,1,0,0,0
قابل للتكيف,0,0,0,0,0,0,1,0,0,0
يضيف,0,0,0,0,0,0,0,0,0,0
مضاف,0,0,0,0,0,0,0,0,0,0
إضافة,0,0,0,0,0,0,0,0,0,0
الأفعى,1,0,1,1,0,1,0,1,0,0
مدمن,0,0,0,0,0,1,0,0,0,0
إضافة,0,0,0,0,0,0,0,0,0,0
إضافي,0,0,0,0,0,0,0,0,0,0
مادة مضافة,0,0,0,0,0,0,0,0,0,0
تبوك,0,0,0,0,0,0,0,0,0,0
المرسل إليه,0,0,0,0,0,0,0,0,0,0
عناوين,0,1,0,0,0,0,1,0,0,0
بارع,0,0,0,0,0,0,1,0,0,0
قدرة,0,0,0,0,0,0,1,0,0,0
مناسب,0,0,0,0,0,0,0,0,0,0
يتمسك,0,0,0,0,0,0,0,0,0,0
التقيد,0,0,0,0,0,0,0,0,0,0
نصير,0,0,0,0,0,0,0,0,0,0
الانضمام,0,0,0,0,0,0,0,0,0,1
التصاق,0,0,0,0,0,0,0,0,0,0
لاصق,0,0,0,0,0,0,0,0,0,0
وداعا,0,0,0,0,0,0,0,0,0,0
دهني,0,0,0,0,0,1,0,0,0,0
الملاصقة,0,0,0,0,0,0,0,0,0,0
متاخم,0,0,0,0,0,0,0,0,0,0
صفة,0,0,0,0,0,0,0,0,0,0
المجاورة,0,0,0,0,0,0,0,0,0,0
رفع,0,0,0,0,0,0,0,0,0,0
تأجيل,0,0,0,0,0,0,0,0,0,0
يحكم,0,0,0,1,0,1,0,0,0,0
التحكيم,0,0,0,0,0,0,0,0,0,0
مساعد,0,0,0,0,0,0,1,0,0,0
يُعدِّل,0,0,0,0,0,0,0,0,0,0
تعديل,0,0,0,0,0,0,0,0,0,0
مساعد,0,0,0,0,0,0,0,0,0,0
إدارة,0,0,0,0,0,0,0,0,0,0
الادارة,0,0,0,0,0,0,0,0,0,0
إداري,0,0,0,0,0,0,0,0,0,1
رائع,0,0,0,0,1,0,1,0,0,1
أميرال,0,0,0,0,0,0,1,0,0,1
أميرالية,0,0,0,0,0,0,0,0,0,0
إعجاب,0,0,0,0,1,0,1,0,0,1
معجب,0,0,0,0,0,0,1,0,0,1
معجب,0,0,0,0,0,0,1,0,0,0
المقبولية,0,0,0,0,0,0,0,0,0,0
مقبول,0,0,0,0,0,0,1,0,0,1
سماح بالدخول,0,0,0,0,0,0,0,0,0,0
يعترف,0,0,0,0,0,0,0,0,0,0
القبول,0,0,0,0,0,0,0,0,0,0
اعترف,0,0,0,0,0,0,0,0,0,0
الاعتراف,0,0,0,0,0,0,0,0,0,0
خليط,0,0,0,0,0,0,0,0,0,0
عتاب,0,0,0,1,0,1,0,0,0,0
اللغط,0,0,0,0,0,0,0,0,0,0
أدوبي,0,0,0,0,0,0,0,0,0,0
مرحلة المراهقة,0,0,0,0,0,0,0,0,0,0
مراهق,0,0,0,0,0,0,0,0,0,0
يتبنى,0,0,0,0,0,0,0,0,0,0
تبني,0,0,0,0,0,0,0,0,0,0
بديع,0,0,0,0,1,0,1,0,0,0
هيام,0,0,0,0,1,0,1,0,0,1
أعشق,0,1,0,0,1,0,1,0,0,1
تزين,0,0,0,0,0,0,0,0,0,0
زينة,0,0,0,0,0,0,0,0,0,0
على غير هدى,0,1,0,1,0,1,0,1,0,0
بالغ,0,0,0,0,0,0,0,0,0,0
مغشوشة,0,0,0,0,0,1,0,0,0,0
الزنا,0,0,1,0,0,1,0,1,0,0
