Belarusian Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
у спіну,0,0,0,0,0,0,0,0,0,0
абак,0,0,0,0,0,0,0,0,0,1
адмовіцца,0,0,0,1,0,1,0,1,0,0
закінуты,1,0,0,1,0,1,0,1,0,0
закінутасць,1,0,0,1,0,1,0,1,1,0
сціхаць,0,0,0,0,0,0,0,0,0,0
паслабленне,0,0,0,0,0,0,0,0,0,0
абба,0,0,0,0,0,0,1,0,0,0
настаяцель,0,0,0,0,0,0,0,0,0,1
скарачаць,0,0,0,0,0,0,0,0,0,0
абрэвіятура,0,0,0,0,0,0,0,0,0,0
жывот,0,0,0,0,0,0,0,0,0,0
брушной,0,0,0,0,0,0,0,0,0,0
выкраданне,0,0,0,1,0,1,0,1,1,0
аберрантны,0,0,0,0,0,1,0,0,0,0
аберацыя,0,0,1,0,0,1,0,0,0,0
прыпыненне,0,0,0,0,0,0,0,0,0,0
гідзіцца,1,0,1,1,0,1,0,0,0,0
агідны,1,0,1,1,0,1,0,0,0,0
выконваць,0,0,0,0,0,0,0,0,0,0
здольнасць,0,0,0,0,0,0,1,0,0,0
панізна,0,0,1,0,0,1,0,0,0,0
абляцыя,0,0,0,0,0,0,0,0,0,0
палаючы,0,0,0,0,0,0,0,0,0,0
ненармальны,0,0,1,0,0,1,0,0,0,0
на борце,0,0,0,0,0,0,0,0,0,0
месца жыхарства,0,0,0,0,0,0,0,0,0,0
скасаваць,1,0,0,0,0,1,0,0,0,0
адмена,0,0,0,0,0,1,0,0,0,0
агідны,0,0,1,1,0,1,0,0,0,0
агіднасць,1,0,1,1,0,1,0,0,0,0
першабытнік,0,0,0,0,0,0,0,0,0,0
перапыніць,0,0,0,0,0,1,0,0,0,0
аборт,0,0,1,1,0,1,0,1,0,0
абартыўна,0,0,0,0,0,1,0,1,0,0
багата,0,0,0,0,0,0,0,0,0,0
вышэйзгаданы,0,0,0,0,0,0,1,0,0,0
пацёртасць,0,0,0,0,0,1,0,0,0,0
за мяжой,0,0,0,0,0,0,0,0,0,0
адмяніць,0,0,0,0,0,1,0,0,0,0
рэзкі,0,0,0,0,0,0,0,0,1,0
рэзка,0,0,0,0,0,0,0,0,0,0
абсцэс,0,0,0,0,0,1,0,1,0,0
адсутнасць,0,0,0,1,0,1,0,1,0,0
адсутнічае,0,0,0,0,0,1,0,1,0,0
завочны,0,0,0,0,0,1,0,1,0,0
прагулы,0,0,0,0,0,1,0,0,0,0
абсэнт,0,0,0,0,0,0,0,0,0,0
абсалютны,0,0,0,0,0,0,1,0,0,0
адпушчэнне,0,0,0,0,1,0,1,0,0,1
паглынаецца,0,0,0,0,0,0,1,0,0,0
абсорбент,0,0,0,0,0,0,0,0,0,0
паглынальны,0,0,0,0,0,0,0,0,0,0
паглынанне,0,0,0,0,0,0,0,0,0,0
устрымацца,0,0,0,0,0,0,0,0,0,0
устрыманне,0,0,0,0,0,0,0,0,0,0
ўстрыманне,0,0,0,0,0,0,0,0,0,0
анатацыя,0,0,0,0,0,0,0,0,0,0
абстракцыя,0,0,0,0,0,0,0,0,0,0
абсурд,0,0,0,0,0,1,0,0,0,0
абсурд,0,0,0,0,0,1,0,0,0,0
багацце,0,1,1,0,1,1,1,0,0,1
багаты,0,0,0,0,1,0,1,0,0,0
злоўжыванне,1,0,1,1,0,1,0,1,0,0
абатмент,0,0,0,0,0,0,0,0,0,0
абы,0,0,0,0,0,0,0,0,0,0
бездань,0,0,0,0,0,1,0,1,0,0
бездань,0,0,0,1,0,1,0,1,0,0
акадэмічны,0,0,0,0,0,0,1,0,0,1
акадэміі,0,0,0,0,0,0,1,0,0,0
далучыцца,0,0,0,0,0,0,0,0,0,0
паскорыць,0,1,0,0,0,0,0,0,0,0
паскарэнне,0,0,0,0,0,0,0,0,0,0
акцэнт,0,0,0,0,0,0,0,0,0,0
акцэнтаваць,0,0,0,0,0,0,0,0,0,0
прыняць,0,0,0,0,0,0,0,0,0,0
прымальна,0,0,0,0,0,0,1,0,0,0
прыняцце,0,0,0,0,0,0,1,0,0,0
доступ,0,0,0,0,0,0,0,0,0,0
даступныя,0,0,0,0,0,0,1,0,0,0
далучэнне,0,0,0,0,0,0,0,0,0,0
аксэсуар,0,0,0,0,0,0,0,0,0,0
няшчасны выпадак,0,0,0,1,0,1,0,1,1,0
выпадковая,0,0,0,1,0,1,0,0,1,0
выпадкова,0,0,0,0,0,0,0,0,1,0
пахвала,0,1,0,0,1,0,1,0,1,1
размяшчаць,0,0,0,0,0,0,0,0,0,0
пражыванне,0,0,0,0,0,0,1,0,0,0
суправаджэнне,0,1,0,0,1,0,1,0,0,1
суправаджаць,0,0,0,0,0,0,0,0,0,0
суправаджальны,0,0,0,0,0,0,0,0,0,0
саўдзельнік,0,0,0,0,0,0,0,0,0,0
выканаць,0,0,0,0,1,0,1,0,0,0
выканана,0,0,0,0,1,0,1,0,0,0
дасягненне,0,0,0,0,0,0,1,0,0,0
згода,0,0,0,0,0,0,1,0,0,1
адпаведнасці,0,0,0,0,0,0,0,0,0,0
акардэон,0,0,0,0,0,0,0,0,0,0
рахунак,0,0,0,0,0,0,0,0,0,1
падсправаздачнасць,0,0,0,0,0,0,1,0,0,1
падсправаздачны,0,0,0,0,0,0,1,0,0,1
бухгалтар,0,0,0,0,0,0,0,0,0,1
бухгалтэрыя,0,0,0,0,0,0,0,0,0,0
рахункі,0,0,0,0,0,0,0,0,0,1
акрэдытаваны,0,0,0,0,0,0,1,0,0,1
нарастанне,0,0,0,0,0,0,0,0,0,0
налічаць,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
назапашваць,0,0,0,0,0,0,0,0,0,0
назапашванне,0,0,0,0,0,0,0,0,0,0
дакладнасць,0,0,0,0,0,0,0,0,0,0
дакладны,0,0,0,0,0,0,1,0,0,1
пракляты,1,0,0,1,0,1,0,1,0,0
абвінавачванне,1,0,1,0,0,1,0,0,0,0
вінавальны склон,0,0,0,0,0,1,0,0,0,0
абвінавачаны,1,0,0,1,0,1,0,0,0,0
абвінаваўца,1,0,0,1,0,1,0,0,0,0
абвінавачваючы,1,0,0,1,0,1,0,0,0,0
прызвычаіліся,0,0,0,0,0,0,0,0,0,0
туз,0,0,0,0,0,0,1,0,0,0
воцатная,0,0,0,0,0,0,0,0,0,0
балець,0,0,0,0,0,1,0,1,0,0
дасягнуць,0,0,0,0,1,0,1,0,0,1
дасягненне,0,1,0,0,1,0,1,0,0,1
ныючы,0,0,0,0,0,1,0,1,0,0
кіслата,0,0,0,0,0,1,0,0,0,0
кіслотнасць,0,0,0,0,0,0,0,0,0,0
прызнаць,0,0,0,0,0,0,0,0,0,0
прызнаў,0,0,0,0,0,0,0,0,0,0
прызнанне,0,0,0,0,0,0,1,0,0,0
акме,0,0,0,0,0,0,0,0,0,0
акустычны,0,0,0,0,0,0,0,0,0,0
акустыка,0,0,0,0,0,0,0,0,0,0
знаёміць,0,0,0,0,0,0,0,0,0,0
знаёмства,0,0,0,0,0,0,0,0,0,0
знаёмыя,0,0,0,0,0,0,0,0,0,0
пагадлівасць,0,0,0,0,0,0,0,0,0,0
набываць,0,0,0,0,0,0,1,0,0,0
набыццё,0,1,0,0,0,0,1,0,0,0
набыццё,0,0,0,0,0,0,0,0,0,0
набыткі,0,0,0,0,0,0,0,0,0,0
пасяўная плошча,0,0,0,0,0,0,0,0,0,0
акраў,0,0,0,0,0,0,0,0,0,0
акрабат,0,0,0,1,1,0,1,0,0,1
дзейнічаць,0,0,0,0,0,0,0,0,0,0
акцёрскі,0,0,0,0,0,0,0,0,0,0
дзеянне,0,0,0,0,0,0,1,0,0,0
дзейсныя,1,0,1,0,0,1,0,0,0,0
актыўны,0,0,0,0,0,0,0,0,0,0
дзейнасць,0,0,0,0,0,0,0,0,0,0
акцёр,0,0,0,0,0,0,0,0,0,0
фактычны,0,0,0,0,0,0,1,0,0,0
актуальнасць,0,0,0,0,0,0,0,0,0,0
актуарый,0,0,0,0,0,0,0,0,0,0
вастрыня,0,0,0,0,0,0,1,0,0,0
праніклівасць,0,0,0,0,0,0,1,0,0,0
іглаўколванне,0,0,0,0,0,0,0,0,0,0
востра,0,0,0,0,0,0,0,0,0,0
прыказка,0,0,0,0,0,0,0,0,0,0
непахісны,0,0,0,0,0,0,0,0,0,0
