Croatian Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
zatečen,0,0,0,0,0,0,0,0,0,0
abakus,0,0,0,0,0,0,0,0,0,1
napustiti,0,0,0,1,0,1,0,1,0,0
napuštena,1,0,0,1,0,1,0,1,0,0
napuštanje,1,0,0,1,0,1,0,1,1,0
ublažiti se,0,0,0,0,0,0,0,0,0,0
smanjenje,0,0,0,0,0,0,0,0,0,0
abba,0,0,0,0,0,0,1,0,0,0
opat,0,0,0,0,0,0,0,0,0,1
skratiti,0,0,0,0,0,0,0,0,0,0
skraćenica,0,0,0,0,0,0,0,0,0,0
trbuh,0,0,0,0,0,0,0,0,0,0
trbušni,0,0,0,0,0,0,0,0,0,0
otmica,0,0,0,1,0,1,0,1,1,0
nenormalan,0,0,0,0,0,1,0,0,0,0
aberacija,0,0,1,0,0,1,0,0,0,0
mirovanje,0,0,0,0,0,0,0,0,0,0
gnušati se,1,0,1,1,0,1,0,0,0,0
odvratan,1,0,1,1,0,1,0,0,0,0
pridržavati se,0,0,0,0,0,0,0,0,0,0
sposobnost,0,0,0,0,0,0,1,0,0,0
abjekat,0,0,1,0,0,1,0,0,0,0
ablacija,0,0,0,0,0,0,0,0,0,0
u plamenu,0,0,0,0,0,0,0,0,0,0
nenormalan,0,0,1,0,0,1,0,0,0,0
na brodu,0,0,0,0,0,0,0,0,0,0
prebivalište,0,0,0,0,0,0,0,0,0,0
ukinuti,1,0,0,0,0,1,0,0,0,0
ukidanje,0,0,0,0,0,1,0,0,0,0
odvratan,0,0,1,1,0,1,0,0,0,0
odvratnost,1,0,1,1,0,1,0,0,0,0
starosjedilac,0,0,0,0,0,0,0,0,0,0
prekid,0,0,0,0,0,1,0,0,0,0
abortus,0,0,1,1,0,1,0,1,0,0
prijevremen,0,0,0,0,0,1,0,1,0,0
obilovati,0,0,0,0,0,0,0,0,0,0
gore rečeno,0,0,0,0,0,0,1,0,0,0
abrazija,0,0,0,0,0,1,0,0,0,0
u inozemstvu,0,0,0,0,0,0,0,0,0,0
poništiti,0,0,0,0,0,1,0,0,0,0
isprekidan,0,0,0,0,0,0,0,0,1,0
naglo,0,0,0,0,0,0,0,0,0,0
apsces,0,0,0,0,0,1,0,1,0,0
odsutnost,0,0,0,1,0,1,0,1,0,0
odsutan,0,0,0,0,0,1,0,1,0,0
odsutan,0,0,0,0,0,1,0,1,0,0
izostajanje s posla,0,0,0,0,0,1,0,0,0,0
absint,0,0,0,0,0,0,0,0,0,0
apsolutni,0,0,0,0,0,0,1,0,0,0
oprost,0,0,0,0,1,0,1,0,0,1
apsorbiran,0,0,0,0,0,0,1,0,0,0
upijajući,0,0,0,0,0,0,0,0,0,0
apsorpcioni,0,0,0,0,0,0,0,0,0,0
apsorpcija,0,0,0,0,0,0,0,0,0,0
suzdržati se,0,0,0,0,0,0,0,0,0,0
suzdržanost,0,0,0,0,0,0,0,0,0,0
apstinencija,0,0,0,0,0,0,0,0,0,0
sažetak,0,0,0,0,0,0,0,0,0,0
apstrakcija,0,0,0,0,0,0,0,0,0,0
apsurdno,0,0,0,0,0,1,0,0,0,0
apsurdnost,0,0,0,0,0,1,0,0,0,0
obilje,0,1,1,0,1,1,1,0,0,1
obilan,0,0,0,0,1,0,1,0,0,0
zlostavljanje,1,0,1,1,0,1,0,1,0,0
upornjak,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
bez dna,0,0,0,0,0,1,0,1,0,0
bezdan,0,0,0,1,0,1,0,1,0,0
akademski,0,0,0,0,0,0,1,0,0,1
akademija,0,0,0,0,0,0,1,0,0,0
pristupiti,0,0,0,0,0,0,0,0,0,0
ubrzati,0,1,0,0,0,0,0,0,0,0
ubrzanje,0,0,0,0,0,0,0,0,0,0
naglasak,0,0,0,0,0,0,0,0,0,0
naglasiti,0,0,0,0,0,0,0,0,0,0
prihvatiti,0,0,0,0,0,0,0,0,0,0
prihvatljiv,0,0,0,0,0,0,1,0,0,0
prihvaćanje,0,0,0,0,0,0,1,0,0,0
pristup,0,0,0,0,0,0,0,0,0,0
pristupačan,0,0,0,0,0,0,1,0,0,0
pristupanje,0,0,0,0,0,0,0,0,0,0
oprema,0,0,0,0,0,0,0,0,0,0
nesreća,0,0,0,1,0,1,0,1,1,0
slučajan,0,0,0,1,0,1,0,0,1,0
slučajno,0,0,0,0,0,0,0,0,1,0
priznanje,0,1,0,0,1,0,1,0,1,1
smjestiti,0,0,0,0,0,0,0,0,0,0
smještaj,0,0,0,0,0,0,1,0,0,0
pratnja,0,1,0,0,1,0,1,0,0,1
pratiti,0,0,0,0,0,0,0,0,0,0
prateći,0,0,0,0,0,0,0,0,0,0
suučesnik,0,0,0,0,0,0,0,0,0,0
ostvariti,0,0,0,0,1,0,1,0,0,0
ostvareno,0,0,0,0,1,0,1,0,0,0
postignuće,0,0,0,0,0,0,1,0,0,0
sporazum,0,0,0,0,0,0,1,0,0,1
suglasnost,0,0,0,0,0,0,0,0,0,0
harmonika,0,0,0,0,0,0,0,0,0,0
račun,0,0,0,0,0,0,0,0,0,1
odgovornost,0,0,0,0,0,0,1,0,0,1
odgovoran,0,0,0,0,0,0,1,0,0,1
računovođa,0,0,0,0,0,0,0,0,0,1
računovodstvo,0,0,0,0,0,0,0,0,0,0
računi,0,0,0,0,0,0,0,0,0,1
akreditovan,0,0,0,0,0,0,1,0,0,1
prirastanje,0,0,0,0,0,0,0,0,0,0
akumulirati,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
akumulirati,0,0,0,0,0,0,0,0,0,0
akumulacija,0,0,0,0,0,0,0,0,0,0
točnost,0,0,0,0,0,0,0,0,0,0
točan,0,0,0,0,0,0,1,0,0,1
proklet,1,0,0,1,0,1,0,1,0,0
optužba,1,0,1,0,0,1,0,0,0,0
akuzativ,0,0,0,0,0,1,0,0,0,0
optuženik,1,0,0,1,0,1,0,0,0,0
optužitelj,1,0,0,1,0,1,0,0,0,0
optužujući,1,0,0,1,0,1,0,0,0,0
navikli,0,0,0,0,0,0,0,0,0,0
as,0,0,0,0,0,0,1,0,0,0
octena,0,0,0,0,0,0,0,0,0,0
boljeti,0,0,0,0,0,1,0,1,0,0
postići,0,0,0,0,1,0,1,0,0,1
postignuće,0,1,0,0,1,0,1,0,0,1
bolan,0,0,0,0,0,1,0,1,0,0
kiselina,0,0,0,0,0,1,0,0,0,0
kiselost,0,0,0,0,0,0,0,0,0,0
priznati,0,0,0,0,0,0,0,0,0,0
priznati,0,0,0,0,0,0,0,0,0,0
priznanje,0,0,0,0,0,0,1,0,0,0
vrhunac,0,0,0,0,0,0,0,0,0,0
akustični,0,0,0,0,0,0,0,0,0,0
akustika,0,0,0,0,0,0,0,0,0,0
upoznati,0,0,0,0,0,0,0,0,0,0
poznanik,0,0,0,0,0,0,0,0,0,0
upoznati,0,0,0,0,0,0,0,0,0,0
pristajanje,0,0,0,0,0,0,0,0,0,0
steći,0,0,0,0,0,0,1,0,0,0
stjecanje,0,1,0,0,0,0,1,0,0,0
stjecanje,0,0,0,0,0,0,0,0,0,0
akvizicije,0,0,0,0,0,0,0,0,0,0
površina u ralima,0,0,0,0,0,0,0,0,0,0
hektara,0,0,0,0,0,0,0,0,0,0
akrobatica,0,0,0,1,1,0,1,0,0,1
djelovati,0,0,0,0,0,0,0,0,0,0
glumeći,0,0,0,0,0,0,0,0,0,0
akcijski,0,0,0,0,0,0,1,0,0,0
djelotvoran,1,0,1,0,0,1,0,0,0,0
aktivan,0,0,0,0,0,0,0,0,0,0
aktivnost,0,0,0,0,0,0,0,0,0,0
glumac,0,0,0,0,0,0,0,0,0,0
stvarni,0,0,0,0,0,0,1,0,0,0
stvarnost,0,0,0,0,0,0,0,0,0,0
aktuar,0,0,0,0,0,0,0,0,0,0
oštrina,0,0,0,0,0,0,1,0,0,0
sposobnost,0,0,0,0,0,0,1,0,0,0
akupunktura,0,0,0,0,0,0,0,0,0,0
akutno,0,0,0,0,0,0,0,0,0,0
poslovica,0,0,0,0,0,0,0,0,0,0
nepopustljiv,0,0,0,0,0,0,0,0,0,0
prilagoditi,0,0,0,0,0,0,1,0,0,0
prilagodljiv,0,0,0,0,0,0,1,0,0,0
dodati,0,0,0,0,0,0,0,0,0,0
dodao,0,0,0,0,0,0,0,0,0,0
dodatak,0,0,0,0,0,0,0,0,0,0
guja,1,0,1,1,0,1,0,1,0,0
ovisnost,0,0,0,0,0,1,0,0,0,0
dodatak,0,0,0,0,0,0,0,0,0,0
dodatni,0,0,0,0,0,0,0,0,0,0
aditiv,0,0,0,0,0,0,0,0,0,0
adresa,0,0,0,0,0,0,0,0,0,0
adresat,0,0,0,0,0,0,0,0,0,0
adrese,0,1,0,0,0,0,1,0,0,0
vješt,0,0,0,0,0,0,1,0,0,0
adekvatnost,0,0,0,0,0,0,1,0,0,0
adekvatan,0,0,0,0,0,0,0,0,0,0
pridržavati se,0,0,0,0,0,0,0,0,0,0
pridržavanje,0,0,0,0,0,0,0,0,0,0
privrženik,0,0,0,0,0,0,0,0,0,0
pridržavajući se,0,0,0,0,0,0,0,0,0,1
prianjanje,0,0,0,0,0,0,0,0,0,0
ljepilo,0,0,0,0,0,0,0,0,0,0
zbogom,0,0,0,0,0,0,0,0,0,0
adipozan,0,0,0,0,0,1,0,0,0,0
susjedstvo,0,0,0,0,0,0,0,0,0,0
susjedni,0,0,0,0,0,0,0,0,0,0
pridjev,0,0,0,0,0,0,0,0,0,0
susjedni,0,0,0,0,0,0,0,0,0,0
odgoditi,0,0,0,0,0,0,0,0,0,0
odlaganje,0,0,0,0,0,0,0,0,0,0
presuditi,0,0,0,1,0,1,0,0,0,0
dosuđivanje,0,0,0,0,0,0,0,0,0,0
dodatak,0,0,0,0,0,0,1,0,0,0
prilagoditi se,0,0,0,0,0,0,0,0,0,0
podešavanje,0,0,0,0,0,0,0,0,0,0
pomoćno sredstvo,0,0,0,0,0,0,0,0,0,0
upravljati,0,0,0,0,0,0,0,0,0,0
uprave,0,0,0,0,0,0,0,0,0,0
upravni,0,0,0,0,0,0,0,0,0,1
izvrstan,0,0,0,0,1,0,1,0,0,1
admiral,0,0,0,0,0,0,1,0,0,1
admiralitet,0,0,0,0,0,0,0,0,0,0
divljenje,0,0,0,0,1,0,1,0,0,1
diviti se,0,0,0,0,0,0,1,0,0,1
obožavatelj,0,0,0,0,0,0,1,0,0,0
dopuštenost,0,0,0,0,0,0,0,0,0,0
dopušteno,0,0,0,0,0,0,1,0,0,1
prijem,0,0,0,0,0,0,0,0,0,0
priznati,0,0,0,0,0,0,0,0,0,0
prijem,0,0,0,0,0,0,0,0,0,0
priznao,0,0,0,0,0,0,0,0,0,0
priznajući,0,0,0,0,0,0,0,0,0,0
primjesa,0,0,0,0,0,0,0,0,0,0
ukor,0,0,0,1,0,1,0,0,0,0
teškoća,0,0,0,0,0,0,0,0,0,0
čerpić,0,0,0,0,0,0,0,0,0,0
