Czech Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
zaražený,0,0,0,0,0,0,0,0,0,0
počitadlo,0,0,0,0,0,0,0,0,0,1
opustit,0,0,0,1,0,1,0,1,0,0
opuštěný,1,0,0,1,0,1,0,1,0,0
opuštění,1,0,0,1,0,1,0,1,1,0
polevit,0,0,0,0,0,0,0,0,0,0
snížení,0,0,0,0,0,0,0,0,0,0
abba,0,0,0,0,0,0,1,0,0,0
opat,0,0,0,0,0,0,0,0,0,1
zkrátit,0,0,0,0,0,0,0,0,0,0
zkratka,0,0,0,0,0,0,0,0,0,0
břicho,0,0,0,0,0,0,0,0,0,0
břišní,0,0,0,0,0,0,0,0,0,0
únos,0,0,0,1,0,1,0,1,1,0
odchylný,0,0,0,0,0,1,0,0,0,0
aberace,0,0,1,0,0,1,0,0,0,0
suspenze,0,0,0,0,0,0,0,0,0,0
hnusit si,1,0,1,1,0,1,0,0,0,0
odporný,1,0,1,1,0,1,0,0,0,0
dodržet,0,0,0,0,0,0,0,0,0,0
schopnost,0,0,0,0,0,0,1,0,0,0
ubohý,0,0,1,0,0,1,0,0,0,0
ablace,0,0,0,0,0,0,0,0,0,0
hořet,0,0,0,0,0,0,0,0,0,0
abnormální,0,0,1,0,0,1,0,0,0,0
na palubě,0,0,0,0,0,0,0,0,0,0
příbytek,0,0,0,0,0,0,0,0,0,0
zrušit,1,0,0,0,0,1,0,0,0,0
zrušení,0,0,0,0,0,1,0,0,0,0
odporný,0,0,1,1,0,1,0,0,0,0
ohavnost,1,0,1,1,0,1,0,0,0,0
domorodý,0,0,0,0,0,0,0,0,0,0
přerušit,0,0,0,0,0,1,0,0,0,0
potrat,0,0,1,1,0,1,0,1,0,0
neúspěšný,0,0,0,0,0,1,0,1,0,0
oplývat,0,0,0,0,0,0,0,0,0,0
výše zmíněné,0,0,0,0,0,0,1,0,0,0
oděru,0,0,0,0,0,1,0,0,0,0
v cizině,0,0,0,0,0,0,0,0,0,0
zrušit,0,0,0,0,0,1,0,0,0,0
náhlý,0,0,0,0,0,0,0,0,1,0
náhle,0,0,0,0,0,0,0,0,0,0
absces,0,0,0,0,0,1,0,1,0,0
absence,0,0,0,1,0,1,0,1,0,0
nepřítomný,0,0,0,0,0,1,0,1,0,0
nepřítomný,0,0,0,0,0,1,0,1,0,0
absentérství,0,0,0,0,0,1,0,0,0,0
absint,0,0,0,0,0,0,0,0,0,0
absolutní,0,0,0,0,0,0,1,0,0,0
rozhřešení,0,0,0,0,1,0,1,0,0,1
absorbován,0,0,0,0,0,0,1,0,0,0
savý,0,0,0,0,0,0,0,0,0,0
pohlcující,0,0,0,0,0,0,0,0,0,0
vstřebávání,0,0,0,0,0,0,0,0,0,0
zdržet se hlasování,0,0,0,0,0,0,0,0,0,0
