Danish Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
overrasket,0,0,0,0,0,0,0,0,0,0
abacus,0,0,0,0,0,0,0,0,0,1
opgive,0,0,0,1,0,1,0,1,0,0
forladt,1,0,0,1,0,1,0,1,0,0
opgivelse,1,0,0,1,0,1,0,1,1,0
aftage,0,0,0,0,0,0,0,0,0,0
reduktion,0,0,0,0,0,0,0,0,0,0
abba,0,0,0,0,0,0,1,0,0,0
abbed,0,0,0,0,0,0,0,0,0,1
forkorte,0,0,0,0,0,0,0,0,0,0
forkortelse,0,0,0,0,0,0,0,0,0,0
mave,0,0,0,0,0,0,0,0,0,0
abdominal,0,0,0,0,0,0,0,0,0,0
bortførelse,0,0,0,1,0,1,0,1,1,0
afvigende,0,0,0,0,0,1,0,0,0,0
aberration,0,0,1,0,0,1,0,0,0,0
afholdenhed,0,0,0,0,0,0,0,0,0,0
afsky,1,0,1,1,0,1,0,0,0,0
afskyeligt,1,0,1,1,0,1,0,0,0,0
overholde,0,0,0,0,0,0,0,0,0,0
evne,0,0,0,0,0,0,1,0,0,0
afskyeligt,0,0,1,0,0,1,0,0,0,0
ablation,0,0,0,0,0,0,0,0,0,0
i flammer,0,0,0,0,0,0,0,0,0,0
abnorm,0,0,1,0,0,1,0,0,0,0
ombord,0,0,0,0,0,0,0,0,0,0
opholdssted,0,0,0,0,0,0,0,0,0,0
afskaffe,1,0,0,0,0,1,0,0,0,0
afskaffelse,0,0,0,0,0,1,0,0,0,0
afskyeligt,0,0,1,1,0,1,0,0,0,0
vederstyggelighed,1,0,1,1,0,1,0,0,0,0
aboriginal,0,0,0,0,0,0,0,0,0,0
abort,0,0,0,0,0,1,0,0,0,0
abort,0,0,1,1,0,1,0,1,0,0
mislykket,0,0,0,0,0,1,0,1,0,0
bugne,0,0,0,0,0,0,0,0,0,0
ovennævnte,0,0,0,0,0,0,1,0,0,0
slid,0,0,0,0,0,1,0,0,0,0
i udlandet,0,0,0,0,0,0,0,0,0,0
ophæve,0,0,0,0,0,1,0,0,0,0
brat,0,0,0,0,0,0,0,0,1,0
brat,0,0,0,0,0,0,0,0,0,0
byld,0,0,0,0,0,1,0,1,0,0
fravær,0,0,0,1,0,1,0,1,0,0
fraværende,0,0,0,0,0,1,0,1,0,0
fraværende,0,0,0,0,0,1,0,1,0,0
fravær,0,0,0,0,0,1,0,0,0,0
absint,0,0,0,0,0,0,0,0,0,0
absolut,0,0,0,0,0,0,1,0,0,0
absolution,0,0,0,0,1,0,1,0,0,1
absorberet,0,0,0,0,0,0,1,0,0,0
absorberende,0,0,0,0,0,0,0,0,0,0
absorberende,0,0,0,0,0,0,0,0,0,0
absorption,0,0,0,0,0,0,0,0,0,0
afholde sig,0,0,0,0,0,0,0,0,0,0
undladelse,0,0,0,0,0,0,0,0,0,0
afholdenhed,0,0,0,0,0,0,0,0,0,0
abstrakt,0,0,0,0,0,0,0,0,0,0
abstraktion,0,0,0,0,0,0,0,0,0,0
absurd,0,0,0,0,0,1,0,0,0,0
absurditet,0,0,0,0,0,1,0,0,0,0
overflod,0,1,1,0,1,1,1,0,0,1
rigelig,0,0,0,0,1,0,1,0,0,0
misbrug,1,0,1,1,0,1,0,1,0,0
abutment,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
afgrundsdyb,0,0,0,0,0,1,0,1,0,0
afgrunden,0,0,0,1,0,1,0,1,0,0
akademisk,0,0,0,0,0,0,1,0,0,1
akademi,0,0,0,0,0,0,1,0,0,0
tiltræde,0,0,0,0,0,0,0,0,0,0
fremskynde,0,1,0,0,0,0,0,0,0,0
acceleration,0,0,0,0,0,0,0,0,0,0
accent,0,0,0,0,0,0,0,0,0,0
fremhæve,0,0,0,0,0,0,0,0,0,0
acceptere,0,0,0,0,0,0,0,0,0,0
acceptabelt,0,0,0,0,0,0,1,0,0,0
accept,0,0,0,0,0,0,1,0,0,0
adgang,0,0,0,0,0,0,0,0,0,0
tilgængelig,0,0,0,0,0,0,1,0,0,0
tiltrædelse,0,0,0,0,0,0,0,0,0,0
tilbehør,0,0,0,0,0,0,0,0,0,0
ulykke,0,0,0,1,0,1,0,1,1,0
tilfældig,0,0,0,1,0,1,0,0,1,0
ved en fejltagelse,0,0,0,0,0,0,0,0,1,0
anerkendelse,0,1,0,0,1,0,1,0,1,1
imødekomme,0,0,0,0,0,0,0,0,0,0
indkvartering,0,0,0,0,0,0,1,0,0,0
akkompagnement,0,1,0,0,1,0,1,0,0,1
ledsage,0,0,0,0,0,0,0,0,0,0
medfølgende,0,0,0,0,0,0,0,0,0,0
medskyldig,0,0,0,0,0,0,0,0,0,0
opnå,0,0,0,0,1,0,1,0,0,0
gennemført,0,0,0,0,1,0,1,0,0,0
præstation,0,0,0,0,0,0,1,0,0,0
aftale,0,0,0,0,0,0,1,0,0,1
overensstemmelse,0,0,0,0,0,0,0,0,0,0
harmonika,0,0,0,0,0,0,0,0,0,0
konto,0,0,0,0,0,0,0,0,0,1
ansvarlighed,0,0,0,0,0,0,1,0,0,1
ansvarlig,0,0,0,0,0,0,1,0,0,1
