Dutch Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
verbijsterd,0,0,0,0,0,0,0,0,0,0
telraam,0,0,0,0,0,0,0,0,0,1
in de steek laten,0,0,0,1,0,1,0,1,0,0
verlaten,1,0,0,1,0,1,0,1,0,0
in de steek laten,1,0,0,1,0,1,0,1,1,0
verminderen,0,0,0,0,0,0,0,0,0,0
vermindering,0,0,0,0,0,0,0,0,0,0
abba,0,0,0,0,0,0,1,0,0,0
abt,0,0,0,0,0,0,0,0,0,1
afkorten,0,0,0,0,0,0,0,0,0,0
afkorting,0,0,0,0,0,0,0,0,0,0
buikspier,0,0,0,0,0,0,0,0,0,0
buik,0,0,0,0,0,0,0,0,0,0
ontvoering,0,0,0,1,0,1,0,1,1,0
afwijkend,0,0,0,0,0,1,0,0,0,0
aberratie,0,0,1,0,0,1,0,0,0,0
opschorting,0,0,0,0,0,0,0,0,0,0
verafschuwen,1,0,1,1,0,1,0,0,0,0
weerzinwekkend,1,0,1,1,0,1,0,0,0,0
zich houden aan,0,0,0,0,0,0,0,0,0,0
vermogen,0,0,0,0,0,0,1,0,0,0
abject,0,0,1,0,0,1,0,0,0,0
ablatie,0,0,0,0,0,0,0,0,0,0
in vuur en vlam,0,0,0,0,0,0,0,0,0,0
abnormaal,0,0,1,0,0,1,0,0,0,0
aan boord,0,0,0,0,0,0,0,0,0,0
verblijfplaats,0,0,0,0,0,0,0,0,0,0
vernietigen,1,0,0,0,0,1,0,0,0,0
afschaffing,0,0,0,0,0,1,0,0,0,0
afschuwelijk,0,0,1,1,0,1,0,0,0,0
gruwel,1,0,1,1,0,1,0,0,0,0
aboriginal,0,0,0,0,0,0,0,0,0,0
afbreken,0,0,0,0,0,1,0,0,0,0
abortus,0,0,1,1,0,1,0,1,0,0
mislukt,0,0,0,0,0,1,0,1,0,0
in overvloed,0,0,0,0,0,0,0,0,0,0
bovengenoemde,0,0,0,0,0,0,1,0,0,0
slijtage,0,0,0,0,0,1,0,0,0,0
Buitenland,0,0,0,0,0,0,0,0,0,0
afschaffen,0,0,0,0,0,1,0,0,0,0
abrupt,0,0,0,0,0,0,0,0,1,0
abrupt,0,0,0,0,0,0,0,0,0,0
abces,0,0,0,0,0,1,0,1,0,0
afwezigheid,0,0,0,1,0,1,0,1,0,0
afwezig,0,0,0,0,0,1,0,1,0,0
afwezige,0,0,0,0,0,1,0,1,0,0
verzuim,0,0,0,0,0,1,0,0,0,0
absint,0,0,0,0,0,0,0,0,0,0
absoluut,0,0,0,0,0,0,1,0,0,0
absolutie,0,0,0,0,1,0,1,0,0,1
