Finnish Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hämmästynyt,0,0,0,0,0,0,0,0,0,0
abacus,0,0,0,0,0,0,0,0,0,1
luopua,0,0,0,1,0,1,0,1,0,0
hylätty,1,0,0,1,0,1,0,1,0,0
hylkääminen,1,0,0,1,0,1,0,1,1,0
laantua,0,0,0,0,0,0,0,0,0,0
vähentäminen,0,0,0,0,0,0,0,0,0,0
abba,0,0,0,0,0,0,1,0,0,0
apotti,0,0,0,0,0,0,0,0,0,1
lyhentää,0,0,0,0,0,0,0,0,0,0
lyhenne,0,0,0,0,0,0,0,0,0,0
vatsa,0,0,0,0,0,0,0,0,0,0
vatsan-,0,0,0,0,0,0,0,0,0,0
sieppaus,0,0,0,1,0,1,0,1,1,0
poikkeava,0,0,0,0,0,1,0,0,0,0
poikkeama,0,0,1,0,0,1,0,0,0,0
keskeytys,0,0,0,0,0,0,0,0,0,0
inhoaa,1,0,1,1,0,1,0,0,0,0
vastenmielistä,1,0,1,1,0,1,0,0,0,0
pysyä,0,0,0,0,0,0,0,0,0,0
kyky,0,0,0,0,0,0,1,0,0,0
surkea,0,0,1,0,0,1,0,0,0,0
ablaatio,0,0,0,0,0,0,0,0,0,0
ilmiliekeissä,0,0,0,0,0,0,0,0,0,0
epänormaalia,0,0,1,0,0,1,0,0,0,0
kyytiin,0,0,0,0,0,0,0,0,0,0
asuinpaikka,0,0,0,0,0,0,0,0,0,0
poistaa,1,0,0,0,0,1,0,0,0,0
poistaminen,0,0,0,0,0,1,0,0,0,0
inhottavaa,0,0,1,1,0,1,0,0,0,0
kauhistus,1,0,1,1,0,1,0,0,0,0
aboriginaali,0,0,0,0,0,0,0,0,0,0
keskeyttää,0,0,0,0,0,1,0,0,0,0
abortti,0,0,1,1,0,1,0,1,0,0
epäonnistunut,0,0,0,0,0,1,0,1,0,0
runsaasti,0,0,0,0,0,0,0,0,0,0
yllämainittu,0,0,0,0,0,0,1,0,0,0
hankausta,0,0,0,0,0,1,0,0,0,0
ulkomailla,0,0,0,0,0,0,0,0,0,0
