Georgian Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
დაბრუნდა,0,0,0,0,0,0,0,0,0,0
აბაკუსი,0,0,0,0,0,0,0,0,0,1
მიტოვება,0,0,0,1,0,1,0,1,0,0
მიტოვებული,1,0,0,1,0,1,0,1,0,0
მიტოვება,1,0,0,1,0,1,0,1,1,0
შემცირება,0,0,0,0,0,0,0,0,0,0
შემცირება,0,0,0,0,0,0,0,0,0,0
აბა,0,0,0,0,0,0,1,0,0,0
აბატი,0,0,0,0,0,0,0,0,0,1
შემოკლება,0,0,0,0,0,0,0,0,0,0
აბრევიატურა,0,0,0,0,0,0,0,0,0,0
მუცელი,0,0,0,0,0,0,0,0,0,0
მუცლის,0,0,0,0,0,0,0,0,0,0
გატაცება,0,0,0,1,0,1,0,1,1,0
გადახრილი,0,0,0,0,0,1,0,0,0,0
აბერაცია,0,0,1,0,0,1,0,0,0,0
მორჩენა,0,0,0,0,0,0,0,0,0,0
ზიზღი,1,0,1,1,0,1,0,0,0,0
საზიზღარი,1,0,1,1,0,1,0,0,0,0
დაიცვან,0,0,0,0,0,0,0,0,0,0
უნარი,0,0,0,0,0,0,1,0,0,0
საზიზღარი,0,0,1,0,0,1,0,0,0,0
აბლაცია,0,0,0,0,0,0,0,0,0,0
ცეცხლმოკიდებული,0,0,0,0,0,0,0,0,0,0
არანორმალური,0,0,1,0,0,1,0,0,0,0
გემზე,0,0,0,0,0,0,0,0,0,0
სამყოფელი,0,0,0,0,0,0,0,0,0,0
გააუქმოს,1,0,0,0,0,1,0,0,0,0
გაუქმება,0,0,0,0,0,1,0,0,0,0
საზიზღარი,0,0,1,1,0,1,0,0,0,0
საზიზღრობა,1,0,1,1,0,1,0,0,0,0
აბორიგენი,0,0,0,0,0,0,0,0,0,0
გაუქმება,0,0,0,0,0,1,0,0,0,0
აბორტი,0,0,1,1,0,1,0,1,0,0
აბორტი,0,0,0,0,0,1,0,1,0,0
უხვად,0,0,0,0,0,0,0,0,0,0
როგორც უკვე ავღნიშნე,0,0,0,0,0,0,1,0,0,0
აბრაზია,0,0,0,0,0,1,0,0,0,0
საზღვარგარეთ,0,0,0,0,0,0,0,0,0,0
გააუქმოს,0,0,0,0,0,1,0,0,0,0
მკვეთრი,0,0,0,0,0,0,0,0,1,0
მოულოდნელად,0,0,0,0,0,0,0,0,0,0
აბსცესი,0,0,0,0,0,1,0,1,0,0
არარსებობა,0,0,0,1,0,1,0,1,0,0
არდამსწრე,0,0,0,0,0,1,0,1,0,0
დაუსწრებელი,0,0,0,0,0,1,0,1,0,0
არყოფნა,0,0,0,0,0,1,0,0,0,0
აბსენტი,0,0,0,0,0,0,0,0,0,0
აბსოლუტური,0,0,0,0,0,0,1,0,0,0
განთავისუფლება,0,0,0,0,1,0,1,0,0,1
შეიწოვება,0,0,0,0,0,0,1,0,0,0
შთამნთქმელი,0,0,0,0,0,0,0,0,0,0
შთანთქმის,0,0,0,0,0,0,0,0,0,0
შთანთქმის,0,0,0,0,0,0,0,0,0,0
თავი შეიკავოს,0,0,0,0,0,0,0,0,0,0
თავშეკავება,0,0,0,0,0,0,0,0,0,0
თავშეკავება,0,0,0,0,0,0,0,0,0,0
აბსტრაქტული,0,0,0,0,0,0,0,0,0,0
აბსტრაქცია,0,0,0,0,0,0,0,0,0,0
აბსურდი,0,0,0,0,0,1,0,0,0,0
აბსურდულობა,0,0,0,0,0,1,0,0,0,0
სიმრავლე,0,1,1,0,1,1,1,0,0,1
უხვი,0,0,0,0,1,0,1,0,0,0
ბოროტად გამოყენება,1,0,1,1,0,1,0,1,0,0
საყრდენი,0,0,0,0,0,0,0,0,0,0
აბი,0,0,0,0,0,0,0,0,0,0
უფსკრული,0,0,0,0,0,1,0,1,0,0
უფსკრული,0,0,0,1,0,1,0,1,0,0
აკადემიური,0,0,0,0,0,0,1,0,0,1
აკადემია,0,0,0,0,0,0,1,0,0,0
შეერთება,0,0,0,0,0,0,0,0,0,0
აჩქარება,0,1,0,0,0,0,0,0,0,0
აჩქარება,0,0,0,0,0,0,0,0,0,0
აქცენტი,0,0,0,0,0,0,0,0,0,0
აქცენტირება,0,0,0,0,0,0,0,0,0,0
მიღება,0,0,0,0,0,0,0,0,0,0
მისაღები,0,0,0,0,0,0,1,0,0,0
მიღება,0,0,0,0,0,0,1,0,0,0
წვდომა,0,0,0,0,0,0,0,0,0,0
