Hebrew Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
המום,0,0,0,0,0,0,0,0,0,0
אַבַּקוּס,0,0,0,0,0,0,0,0,0,1
לִנְטוֹשׁ,0,0,0,1,0,1,0,1,0,0
נָטוּשׁ,1,0,0,1,0,1,0,1,0,0
נְטִישָׁה,1,0,0,1,0,1,0,1,1,0
לְשַׁכֵּך,0,0,0,0,0,0,0,0,0,0
הַפחָתָה,0,0,0,0,0,0,0,0,0,0
אבא,0,0,0,0,0,0,1,0,0,0
רֹאשׁ מִנזָר,0,0,0,0,0,0,0,0,0,1
לְקַצֵר,0,0,0,0,0,0,0,0,0,0
נוֹטָרִיקוֹן,0,0,0,0,0,0,0,0,0,0
בֶּטֶן,0,0,0,0,0,0,0,0,0,0
בִּטנִי,0,0,0,0,0,0,0,0,0,0
חֲטִיפָה,0,0,0,1,0,1,0,1,1,0
סוֹטֶה,0,0,0,0,0,1,0,0,0,0
סְטִיָה,0,0,1,0,0,1,0,0,0,0
מבוי סתום,0,0,0,0,0,0,0,0,0,0
לְתַעֵב,1,0,1,1,0,1,0,0,0,0
שָׂנוּא,1,0,1,1,0,1,0,0,0,0
לעמוד,0,0,0,0,0,0,0,0,0,0
יְכוֹלֶת,0,0,0,0,0,0,1,0,0,0
בָּזוּי,0,0,1,0,0,1,0,0,0,0
כְּרִיתָה,0,0,0,0,0,0,0,0,0,0
בָּאֵשׁ,0,0,0,0,0,0,0,0,0,0
לֹא נוֹרמָלִי,0,0,1,0,0,1,0,0,0,0
חוץ לארץ,0,0,0,0,0,0,0,0,0,0
מָקוֹם,0,0,0,0,0,0,0,0,0,0
לְבַטֵל,1,0,0,0,0,1,0,0,0,0
ביטול,0,0,0,0,0,1,0,0,0,0
מְתוֹעָב,0,0,1,1,0,1,0,0,0,0
תוֹעֵבָה,1,0,1,1,0,1,0,0,0,0
קַדמוֹן,0,0,0,0,0,0,0,0,0,0
לְהַפִּיל,0,0,0,0,0,1,0,0,0,0
הפלה,0,0,1,1,0,1,0,1,0,0
כּוֹשֵׁל,0,0,0,0,0,1,0,1,0,0
בשפע,0,0,0,0,0,0,0,0,0,0
לְעֵיל,0,0,0,0,0,0,1,0,0,0
שְׁחִיקָה,0,0,0,0,0,1,0,0,0,0
מחוץ לארץ,0,0,0,0,0,0,0,0,0,0
לבטל,0,0,0,0,0,1,0,0,0,0
פִּתְאוֹמִי,0,0,0,0,0,0,0,0,1,0
פִּתְאוֹם,0,0,0,0,0,0,0,0,0,0
מוּרְסָה,0,0,0,0,0,1,0,1,0,0
הֶעְדֵר,0,0,0,1,0,1,0,1,0,0
נֶעדָר,0,0,0,0,0,1,0,1,0,0
נִפקָד,0,0,0,0,0,1,0,1,0,0
הֵעָדְרוּת,0,0,0,0,0,1,0,0,0,0
אַבְּסִינְתְ,0,0,0,0,0,0,0,0,0,0
מוּחלָט,0,0,0,0,0,0,1,0,0,0
מְחִילָה,0,0,0,0,1,0,1,0,0,1
ספג,0,0,0,0,0,0,1,0,0,0
סוֹפֵג,0,0,0,0,0,0,0,0,0,0
מְרַתֵק,0,0,0,0,0,0,0,0,0,0
קְלִיטָה,0,0,0,0,0,0,0,0,0,0
לְהִתְנַזֵר,0,0,0,0,0,0,0,0,0,0
הִתנַזְרוּת,0,0,0,0,0,0,0,0,0,0
פְּרִישׁוּת,0,0,0,0,0,0,0,0,0,0
תַקצִיר,0,0,0,0,0,0,0,0,0,0
הַפשָׁטָה,0,0,0,0,0,0,0,0,0,0
אַבּסוּרדִי,0,0,0,0,0,1,0,0,0,0
אַבּסוּרדִיוּת,0,0,0,0,0,1,0,0,0,0
שפע,0,1,1,0,1,1,1,0,0,1
שׁוֹפֵעַ,0,0,0,0,1,0,1,0,0,0
התעללות,1,0,1,1,0,1,0,1,0,0
סמוך,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
תְהוֹמִי,0,0,0,0,0,1,0,1,0,0
תהום,0,0,0,1,0,1,0,1,0,0
אקדמי,0,0,0,0,0,0,1,0,0,1
אֲקָדֶמִיָה,0,0,0,0,0,0,1,0,0,0
לְהַסכִּים,0,0,0,0,0,0,0,0,0,0
להאיץ,0,1,0,0,0,0,0,0,0,0
תְאוּצָה,0,0,0,0,0,0,0,0,0,0
מִבטָא,0,0,0,0,0,0,0,0,0,0
לְהַדגִישׁ,0,0,0,0,0,0,0,0,0,0
לְקַבֵּל,0,0,0,0,0,0,0,0,0,0
קָבִיל,0,0,0,0,0,0,1,0,0,0
קַבָּלָה,0,0,0,0,0,0,1,0,0,0
גִישָׁה,0,0,0,0,0,0,0,0,0,0
נגיש,0,0,0,0,0,0,1,0,0,0
הִצטָרְפוּת,0,0,0,0,0,0,0,0,0,0
אבזר,0,0,0,0,0,0,0,0,0,0
תְאוּנָה,0,0,0,1,0,1,0,1,1,0
מִקרִי,0,0,0,1,0,1,0,0,1,0
בטעות,0,0,0,0,0,0,0,0,1,0
לשבח,0,1,0,0,1,0,1,0,1,1
להתאים,0,0,0,0,0,0,0,0,0,0
דִיוּר,0,0,0,0,0,0,1,0,0,0
לִוּוּי,0,1,0,0,1,0,1,0,0,1
ללוות,0,0,0,0,0,0,0,0,0,0
מתלווה,0,0,0,0,0,0,0,0,0,0
שׁוּתָף,0,0,0,0,0,0,0,0,0,0
לְהַשִׂיג,0,0,0,0,1,0,1,0,0,0
השיג,0,0,0,0,1,0,1,0,0,0
הישג,0,0,0,0,0,0,1,0,0,0
הֶסכֵּם,0,0,0,0,0,0,1,0,0,1
בהתאם,0,0,0,0,0,0,0,0,0,0
אַקוֹרדִיוֹן,0,0,0,0,0,0,0,0,0,0
חֶשְׁבּוֹן,0,0,0,0,0,0,0,0,0,1
אחריות,0,0,0,0,0,0,1,0,0,1
אַחֲרַאִי,0,0,0,0,0,0,1,0,0,1
רואת חשבון,0,0,0,0,0,0,0,0,0,1
ראיית חשבון,0,0,0,0,0,0,0,0,0,0
חשבונות,0,0,0,0,0,0,0,0,0,1
מוסמכת,0,0,0,0,0,0,1,0,0,1
הִצטַבְּרוּת,0,0,0,0,0,0,0,0,0,0
לצבור,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
לִצְבּוֹר,0,0,0,0,0,0,0,0,0,0
הצטברות,0,0,0,0,0,0,0,0,0,0
דיוק,0,0,0,0,0,0,0,0,0,0
מְדוּיָק,0,0,0,0,0,0,1,0,0,1
אָרוּר,1,0,0,1,0,1,0,1,0,0
הַאֲשָׁמָה,1,0,1,0,0,1,0,0,0,0
מאשים,0,0,0,0,0,1,0,0,0,0
מואשם,1,0,0,1,0,1,0,0,0,0
מַאֲשִׁים,1,0,0,1,0,1,0,0,0,0
מאשים,1,0,0,1,0,1,0,0,0,0
רָגִיל,0,0,0,0,0,0,0,0,0,0
אֵס,0,0,0,0,0,0,1,0,0,0
אצטית,0,0,0,0,0,0,0,0,0,0
כְּאֵב,0,0,0,0,0,1,0,1,0,0
לְהַשִׂיג,0,0,0,0,1,0,1,0,0,1
הֶשֵׂג,0,1,0,0,1,0,1,0,0,1
כּוֹאֵב,0,0,0,0,0,1,0,1,0,0
חוּמצָה,0,0,0,0,0,1,0,0,0,0
חוּמצִיוּת,0,0,0,0,0,0,0,0,0,0
לְהוֹדוֹת,0,0,0,0,0,0,0,0,0,0
הודה,0,0,0,0,0,0,0,0,0,0
הכרה,0,0,0,0,0,0,1,0,0,0
שִׂיא,0,0,0,0,0,0,0,0,0,0
אֲקוּסְטִי,0,0,0,0,0,0,0,0,0,0
אֲקוּסְטִיקָה,0,0,0,0,0,0,0,0,0,0
להכיר,0,0,0,0,0,0,0,0,0,0
הֶכֵּרוּת,0,0,0,0,0,0,0,0,0,0
להכיר,0,0,0,0,0,0,0,0,0,0
הסכמה,0,0,0,0,0,0,0,0,0,0
לִרְכּוֹשׁ,0,0,0,0,0,0,1,0,0,0
רוכש,0,1,0,0,0,0,1,0,0,0
רְכִישָׁה,0,0,0,0,0,0,0,0,0,0
רכישות,0,0,0,0,0,0,0,0,0,0
שטח,0,0,0,0,0,0,0,0,0,0
דונם,0,0,0,0,0,0,0,0,0,0
אַקרוֹבָּט,0,0,0,1,1,0,1,0,0,1
פעולה,0,0,0,0,0,0,0,0,0,0
משחק,0,0,0,0,0,0,0,0,0,0
פעולה,0,0,0,0,0,0,1,0,0,0
ניתן לפעולה,1,0,1,0,0,1,0,0,0,0
פָּעִיל,0,0,0,0,0,0,0,0,0,0
פעילות,0,0,0,0,0,0,0,0,0,0
שַׂחְקָן,0,0,0,0,0,0,0,0,0,0
מַמָשִׁי,0,0,0,0,0,0,1,0,0,0
מְצִיאוּת,0,0,0,0,0,0,0,0,0,0
אַקטוּאָר,0,0,0,0,0,0,0,0,0,0
חדות,0,0,0,0,0,0,1,0,0,0
חוכמה,0,0,0,0,0,0,1,0,0,0
אַקוּפּוּנקטוּרָה,0,0,0,0,0,0,0,0,0,0
למעשה,0,0,0,0,0,0,0,0,0,0
פִּתגָם,0,0,0,0,0,0,0,0,0,0
נחוש,0,0,0,0,0,0,0,0,0,0
לְהִסְתָגֵל,0,0,0,0,0,0,1,0,0,0
