Hebrew Word	 anger	 anticipation	 disgust	 fear	 joy	 negative	 positive	 sadness	 surprise	 trust	 Hebrew Word
ומ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 המום
אבקוס	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 אַבַּקוּס
נטוש	 0	 0	 0	 1	 0	 1	 0	 1	 0	 0	 לִנְטוֹשׁ
נטוש	 1	 0	 0	 1	 0	 1	 0	 1	 0	 0	 נָטוּשׁ
נטישה	 1	 0	 0	 1	 0	 1	 0	 1	 1	 0	 נְטִישָׁה
ככ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְשַׁכֵּך
פחתה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 הַפחָתָה
אבא	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 אבא
ראש מנזר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 רֹאשׁ מִנזָר
קצר	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לְקַצֵר
נוטריקונ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 נוֹטָרִיקוֹן
טנ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 בֶּטֶן
טני	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 בִּטנִי
חטיפה	 0	 0	 0	 1	 0	 1	 0	 1	 1	 0	 חֲטִיפָה
סוטה	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 סוֹטֶה
סטיה	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 סְטִיָה
י סתומ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מבוי סתום
תעב	 1	 0	 1	 1	 0	 1	 0	 0	 0	 0	 לְתַעֵב
נוא	 1	 0	 1	 1	 0	 1	 0	 0	 0	 0	 שָׂנוּא
עמוד	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 לעמוד
יכולת	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 יְכוֹלֶת
זוי	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 בָּזוּי
ריתה	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 כְּרִיתָה
אש	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 בָּאֵשׁ
א נורמלי	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 לֹא נוֹרמָלִי
חוצ לארצ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 חוץ לארץ
קומ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 מָקוֹם
טל	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 לְבַטֵל
יטול	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 ביטול
תועב	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 מְתוֹעָב
תועבה	 1	 0	 1	 1	 0	 1	 0	 0	 0	 0	 תוֹעֵבָה
קדמונ	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 קַדמוֹן
פיל	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 לְהַפִּיל
