Hebrew Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Hebrew Word
המום,0,0,0,0,0,0,0,0,0,0,ומ
אַבַּקוּס,0,0,0,0,0,0,0,0,0,1,אבקוס
לִנְטוֹשׁ,0,0,0,1,0,1,0,1,0,0,נטוש
נָטוּשׁ,1,0,0,1,0,1,0,1,0,0,נטוש
נְטִישָׁה,1,0,0,1,0,1,0,1,1,0,נטישה
לְשַׁכֵּך,0,0,0,0,0,0,0,0,0,0,ככ
הַפחָתָה,0,0,0,0,0,0,0,0,0,0,פחתה
אבא,0,0,0,0,0,0,1,0,0,0,אבא
רֹאשׁ מִנזָר,0,0,0,0,0,0,0,0,0,1,ראש מנזר
לְקַצֵר,0,0,0,0,0,0,0,0,0,0,קצר
נוֹטָרִיקוֹן,0,0,0,0,0,0,0,0,0,0,נוטריקונ
בֶּטֶן,0,0,0,0,0,0,0,0,0,0,טנ
בִּטנִי,0,0,0,0,0,0,0,0,0,0,טני
חֲטִיפָה,0,0,0,1,0,1,0,1,1,0,חטיפה
סוֹטֶה,0,0,0,0,0,1,0,0,0,0,סוטה
סְטִיָה,0,0,1,0,0,1,0,0,0,0,סטיה
מבוי סתום,0,0,0,0,0,0,0,0,0,0,י סתומ
לְתַעֵב,1,0,1,1,0,1,0,0,0,0,תעב
שָׂנוּא,1,0,1,1,0,1,0,0,0,0,נוא
לעמוד,0,0,0,0,0,0,0,0,0,0,עמוד
יְכוֹלֶת,0,0,0,0,0,0,1,0,0,0,יכולת
בָּזוּי,0,0,1,0,0,1,0,0,0,0,זוי
כְּרִיתָה,0,0,0,0,0,0,0,0,0,0,ריתה
בָּאֵשׁ,0,0,0,0,0,0,0,0,0,0,אש
לֹא נוֹרמָלִי,0,0,1,0,0,1,0,0,0,0,א נורמלי
חוץ לארץ,0,0,0,0,0,0,0,0,0,0,חוצ לארצ
מָקוֹם,0,0,0,0,0,0,0,0,0,0,קומ
לְבַטֵל,1,0,0,0,0,1,0,0,0,0,טל
ביטול,0,0,0,0,0,1,0,0,0,0,יטול
מְתוֹעָב,0,0,1,1,0,1,0,0,0,0,תועב
