Polish Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
wstecz,0,0,0,0,0,0,0,0,0,0
liczydło,0,0,0,0,0,0,0,0,0,1
opuścić,0,0,0,1,0,1,0,1,0,0
opuszczony,1,0,0,1,0,1,0,1,0,0
porzucenie,1,0,0,1,0,1,0,1,1,0
zmniejszać,0,0,0,0,0,0,0,0,0,0
obniżka,0,0,0,0,0,0,0,0,0,0
Abba,0,0,0,0,0,0,1,0,0,0
opat,0,0,0,0,0,0,0,0,0,1
skracać,0,0,0,0,0,0,0,0,0,0
skrót,0,0,0,0,0,0,0,0,0,0
brzuch,0,0,0,0,0,0,0,0,0,0
brzuszny,0,0,0,0,0,0,0,0,0,0
uprowadzenie,0,0,0,1,0,1,0,1,1,0
anormalny,0,0,0,0,0,1,0,0,0,0
aberracja,0,0,1,0,0,1,0,0,0,0
stan zawieszenia,0,0,0,0,0,0,0,0,0,0
czuć wstręt,1,0,1,1,0,1,0,0,0,0
odrażający,1,0,1,1,0,1,0,0,0,0
przestrzegać,0,0,0,0,0,0,0,0,0,0
umiejętność,0,0,0,0,0,0,1,0,0,0
nikczemny,0,0,1,0,0,1,0,0,0,0
ablacja,0,0,0,0,0,0,0,0,0,0
w ogniu,0,0,0,0,0,0,0,0,0,0
nieprawidłowy,0,0,1,0,0,1,0,0,0,0
na,0,0,0,0,0,0,0,0,0,0
siedziba,0,0,0,0,0,0,0,0,0,0
znieść,1,0,0,0,0,1,0,0,0,0
zniesienie,0,0,0,0,0,1,0,0,0,0
wstrętny,0,0,1,1,0,1,0,0,0,0
wstręt,1,0,1,1,0,1,0,0,0,0
rodowity,0,0,0,0,0,0,0,0,0,0
anulować,0,0,0,0,0,1,0,0,0,0
poronienie,0,0,1,1,0,1,0,1,0,0
nieudany,0,0,0,0,0,1,0,1,0,0
obfitować,0,0,0,0,0,0,0,0,0,0
wyżej wymienione,0,0,0,0,0,0,1,0,0,0
przetarcie,0,0,0,0,0,1,0,0,0,0
za granicą,0,0,0,0,0,0,0,0,0,0
unieważnić,0,0,0,0,0,1,0,0,0,0
nagły,0,0,0,0,0,0,0,0,1,0
nagle,0,0,0,0,0,0,0,0,0,0
ropień,0,0,0,0,0,1,0,1,0,0
brak,0,0,0,1,0,1,0,1,0,0
nieobecny,0,0,0,0,0,1,0,1,0,0
bumelant,0,0,0,0,0,1,0,1,0,0
absencja,0,0,0,0,0,1,0,0,0,0
Absynt,0,0,0,0,0,0,0,0,0,0
absolutny,0,0,0,0,0,0,1,0,0,0
rozgrzeszenie,0,0,0,0,1,0,1,0,0,1
zaabsorbowany,0,0,0,0,0,0,1,0,0,0
absorbent,0,0,0,0,0,0,0,0,0,0
absorbujący,0,0,0,0,0,0,0,0,0,0
wchłanianie,0,0,0,0,0,0,0,0,0,0
wstrzymać się,0,0,0,0,0,0,0,0,0,0
wstrzymanie się od głosu,0,0,0,0,0,0,0,0,0,0
abstynencja,0,0,0,0,0,0,0,0,0,0
abstrakcyjny,0,0,0,0,0,0,0,0,0,0
abstrakcja,0,0,0,0,0,0,0,0,0,0
absurdalny,0,0,0,0,0,1,0,0,0,0
absurdalność,0,0,0,0,0,1,0,0,0,0
obfitość,0,1,1,0,1,1,1,0,0,1
obfity,0,0,0,0,1,0,1,0,0,0
nadużywać,1,0,1,1,0,1,0,1,0,0
przyczółek,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
bezdenny,0,0,0,0,0,1,0,1,0,0
przepaść,0,0,0,1,0,1,0,1,0,0
