Russian Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ошеломленный,0,0,0,0,0,0,0,0,0,0
счеты,0,0,0,0,0,0,0,0,0,1
покидать,0,0,0,1,0,1,0,1,0,0
заброшенный,1,0,0,1,0,1,0,1,0,0
оставление,1,0,0,1,0,1,0,1,1,0
уменьшаться,0,0,0,0,0,0,0,0,0,0
сокращение,0,0,0,0,0,0,0,0,0,0
абба,0,0,0,0,0,0,1,0,0,0
аббат,0,0,0,0,0,0,0,0,0,1
сокращать,0,0,0,0,0,0,0,0,0,0
Сокращенное название,0,0,0,0,0,0,0,0,0,0
живот,0,0,0,0,0,0,0,0,0,0
брюшной,0,0,0,0,0,0,0,0,0,0
похищение,0,0,0,1,0,1,0,1,1,0
аномальный,0,0,0,0,0,1,0,0,0,0
аберрация,0,0,1,0,0,1,0,0,0,0
отсрочка,0,0,0,0,0,0,0,0,0,0
ненавидеть,1,0,1,1,0,1,0,0,0,0
отвратительный,1,0,1,1,0,1,0,0,0,0
соблюдать,0,0,0,0,0,0,0,0,0,0
способность,0,0,0,0,0,0,1,0,0,0
презренный,0,0,1,0,0,1,0,0,0,0
абляция,0,0,0,0,0,0,0,0,0,0
пылающий,0,0,0,0,0,0,0,0,0,0
аномальный,0,0,1,0,0,1,0,0,0,0
на борту,0,0,0,0,0,0,0,0,0,0
обитель,0,0,0,0,0,0,0,0,0,0
отменять,1,0,0,0,0,1,0,0,0,0
отмена,0,0,0,0,0,1,0,0,0,0
отвратительный,0,0,1,1,0,1,0,0,0,0
мерзость,1,0,1,1,0,1,0,0,0,0
абориген,0,0,0,0,0,0,0,0,0,0
прервать,0,0,0,0,0,1,0,0,0,0
аборт,0,0,1,1,0,1,0,1,0,0
неудачный,0,0,0,0,0,1,0,1,0,0
изобиловать,0,0,0,0,0,0,0,0,0,0
вышеупомянутый,0,0,0,0,0,0,1,0,0,0
истирание,0,0,0,0,0,1,0,0,0,0
за рубежом,0,0,0,0,0,0,0,0,0,0
отменить,0,0,0,0,0,1,0,0,0,0
резкий,0,0,0,0,0,0,0,0,1,0
резко,0,0,0,0,0,0,0,0,0,0
абсцесс,0,0,0,0,0,1,0,1,0,0
отсутствие,0,0,0,1,0,1,0,1,0,0
отсутствующий,0,0,0,0,0,1,0,1,0,0
отсутствующий,0,0,0,0,0,1,0,1,0,0
невыход на работу,0,0,0,0,0,1,0,0,0,0
абсент,0,0,0,0,0,0,0,0,0,0
абсолютный,0,0,0,0,0,0,1,0,0,0
отпущение грехов,0,0,0,0,1,0,1,0,0,1
поглощен,0,0,0,0,0,0,1,0,0,0
абсорбент,0,0,0,0,0,0,0,0,0,0
поглощающий,0,0,0,0,0,0,0,0,0,0
поглощение,0,0,0,0,0,0,0,0,0,0
воздерживаться,0,0,0,0,0,0,0,0,0,0
воздержание,0,0,0,0,0,0,0,0,0,0
воздержание,0,0,0,0,0,0,0,0,0,0
Аннотация,0,0,0,0,0,0,0,0,0,0
абстракция,0,0,0,0,0,0,0,0,0,0
абсурдный,0,0,0,0,0,1,0,0,0,0
абсурд,0,0,0,0,0,1,0,0,0,0
избыток,0,1,1,0,1,1,1,0,0,1
обильный,0,0,0,0,1,0,1,0,0,0
злоупотреблять,1,0,1,1,0,1,0,1,0,0
абатмент,0,0,0,0,0,0,0,0,0,0
абы,0,0,0,0,0,0,0,0,0,0
бездонный,0,0,0,0,0,1,0,1,0,0
бездна,0,0,0,1,0,1,0,1,0,0
академический,0,0,0,0,0,0,1,0,0,1
академия,0,0,0,0,0,0,1,0,0,0
присоединиться,0,0,0,0,0,0,0,0,0,0
ускорить,0,1,0,0,0,0,0,0,0,0
ускорение,0,0,0,0,0,0,0,0,0,0
акцент,0,0,0,0,0,0,0,0,0,0
подчеркивать,0,0,0,0,0,0,0,0,0,0
принимать,0,0,0,0,0,0,0,0,0,0
приемлемый,0,0,0,0,0,0,1,0,0,0
принятие,0,0,0,0,0,0,1,0,0,0
доступ,0,0,0,0,0,0,0,0,0,0
доступный,0,0,0,0,0,0,1,0,0,0
присоединение,0,0,0,0,0,0,0,0,0,0
аксессуар,0,0,0,0,0,0,0,0,0,0
несчастный случай,0,0,0,1,0,1,0,1,1,0
случайный,0,0,0,1,0,1,0,0,1,0
случайно,0,0,0,0,0,0,0,0,1,0
похвалить,0,1,0,0,1,0,1,0,1,1
разместить,0,0,0,0,0,0,0,0,0,0
проживание,0,0,0,0,0,0,1,0,0,0
сопровождение,0,1,0,0,1,0,1,0,0,1
сопровождать,0,0,0,0,0,0,0,0,0,0
сопровождающий,0,0,0,0,0,0,0,0,0,0
сообщник,0,0,0,0,0,0,0,0,0,0
выполнить,0,0,0,0,1,0,1,0,0,0
удавшийся,0,0,0,0,1,0,1,0,0,0
достижение,0,0,0,0,0,0,1,0,0,0
согласие,0,0,0,0,0,0,1,0,0,1
соответствие,0,0,0,0,0,0,0,0,0,0
аккордеон,0,0,0,0,0,0,0,0,0,0
учетная запись,0,0,0,0,0,0,0,0,0,1
подотчетность,0,0,0,0,0,0,1,0,0,1
ответственный,0,0,0,0,0,0,1,0,0,1
бухгалтер,0,0,0,0,0,0,0,0,0,1
бухгалтерский учет,0,0,0,0,0,0,0,0,0,0
учетные записи,0,0,0,0,0,0,0,0,0,1
аккредитованный,0,0,0,0,0,0,1,0,0,1
аккреция,0,0,0,0,0,0,0,0,0,0
накапливаться,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0
накапливать,0,0,0,0,0,0,0,0,0,0
накопление,0,0,0,0,0,0,0,0,0,0
точность,0,0,0,0,0,0,0,0,0,0
точный,0,0,0,0,0,0,1,0,0,1
проклятый,1,0,0,1,0,1,0,1,0,0
обвинение,1,0,1,0,0,1,0,0,0,0
винительный,0,0,0,0,0,1,0,0,0,0
обвиняемый,1,0,0,1,0,1,0,0,0,0
обвинитель,1,0,0,1,0,1,0,0,0,0
обвинение,1,0,0,1,0,1,0,0,0,0
привыкший,0,0,0,0,0,0,0,0,0,0
туз,0,0,0,0,0,0,1,0,0,0
уксусный,0,0,0,0,0,0,0,0,0,0
боль,0,0,0,0,0,1,0,1,0,0
достигать,0,0,0,0,1,0,1,0,0,1
достижение,0,1,0,0,1,0,1,0,0,1
ноющий,0,0,0,0,0,1,0,1,0,0
кислота,0,0,0,0,0,1,0,0,0,0
кислотность,0,0,0,0,0,0,0,0,0,0
сознавать,0,0,0,0,0,0,0,0,0,0
признанный,0,0,0,0,0,0,0,0,0,0
подтверждение,0,0,0,0,0,0,1,0,0,0
акме,0,0,0,0,0,0,0,0,0,0
акустический,0,0,0,0,0,0,0,0,0,0
акустика,0,0,0,0,0,0,0,0,0,0
знакомить,0,0,0,0,0,0,0,0,0,0
знакомство,0,0,0,0,0,0,0,0,0,0
знакомый,0,0,0,0,0,0,0,0,0,0
уступчивость,0,0,0,0,0,0,0,0,0,0
приобретать,0,0,0,0,0,0,1,0,0,0
приобретение,0,1,0,0,0,0,1,0,0,0
приобретение,0,0,0,0,0,0,0,0,0,0
приобретения,0,0,0,0,0,0,0,0,0,0
площадь,0,0,0,0,0,0,0,0,0,0
акры,0,0,0,0,0,0,0,0,0,0
акробат,0,0,0,1,1,0,1,0,0,1
действовать,0,0,0,0,0,0,0,0,0,0
действующий,0,0,0,0,0,0,0,0,0,0
действие,0,0,0,0,0,0,1,0,0,0
действенный,1,0,1,0,0,1,0,0,0,0
активный,0,0,0,0,0,0,0,0,0,0
Мероприятия,0,0,0,0,0,0,0,0,0,0
актер,0,0,0,0,0,0,0,0,0,0
действительный,0,0,0,0,0,0,1,0,0,0
актуальность,0,0,0,0,0,0,0,0,0,0
актуарий,0,0,0,0,0,0,0,0,0,0
острота,0,0,0,0,0,0,1,0,0,0
проницательность,0,0,0,0,0,0,1,0,0,0
иглоукалывание,0,0,0,0,0,0,0,0,0,0
остро,0,0,0,0,0,0,0,0,0,0
поговорка,0,0,0,0,0,0,0,0,0,0
непреклонный,0,0,0,0,0,0,0,0,0,0
адаптировать,0,0,0,0,0,0,1,0,0,0
адаптируемый,0,0,0,0,0,0,1,0,0,0
добавлять,0,0,0,0,0,0,0,0,0,0
добавлен,0,0,0,0,0,0,0,0,0,0
дополнение,0,0,0,0,0,0,0,0,0,0
сумматор,1,0,1,1,0,1,0,1,0,0
зависимость,0,0,0,0,0,1,0,0,0,0
добавление,0,0,0,0,0,0,0,0,0,0
дополнительный,0,0,0,0,0,0,0,0,0,0
добавка,0,0,0,0,0,0,0,0,0,0
адрес,0,0,0,0,0,0,0,0,0,0
адресат,0,0,0,0,0,0,0,0,0,0
адреса,0,1,0,0,0,0,1,0,0,0
адепт,0,0,0,0,0,0,1,0,0,0
достаточность,0,0,0,0,0,0,1,0,0,0
адекватный,0,0,0,0,0,0,0,0,0,0
придерживаться,0,0,0,0,0,0,0,0,0,0
приверженность,0,0,0,0,0,0,0,0,0,0
приверженец,0,0,0,0,0,0,0,0,0,0
придерживаясь,0,0,0,0,0,0,0,0,0,1
адгезия,0,0,0,0,0,0,0,0,0,0
клей,0,0,0,0,0,0,0,0,0,0
прощай,0,0,0,0,0,0,0,0,0,0
жировой,0,0,0,0,0,1,0,0,0,0
соседство,0,0,0,0,0,0,0,0,0,0
соседний,0,0,0,0,0,0,0,0,0,0
имя прилагательное,0,0,0,0,0,0,0,0,0,0
примыкающий,0,0,0,0,0,0,0,0,0,0
отложить,0,0,0,0,0,0,0,0,0,0
отсрочка,0,0,0,0,0,0,0,0,0,0
судить,0,0,0,1,0,1,0,0,0,0
судебное решение,0,0,0,0,0,0,0,0,0,0
дополнение,0,0,0,0,0,0,1,0,0,0
регулировать,0,0,0,0,0,0,0,0,0,0
корректирование,0,0,0,0,0,0,0,0,0,0
адъювант,0,0,0,0,0,0,0,0,0,0
управлять,0,0,0,0,0,0,0,0,0,0
администрация,0,0,0,0,0,0,0,0,0,0
административный,0,0,0,0,0,0,0,0,0,1
замечательный,0,0,0,0,1,0,1,0,0,1
адмирал,0,0,0,0,0,0,1,0,0,1
адмиралтейство,0,0,0,0,0,0,0,0,0,0
восхищение,0,0,0,0,1,0,1,0,0,1
восхищаться,0,0,0,0,0,0,1,0,0,1
