Swedish Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
en rygg,0,0,0,0,0,0,0,0,0,0
kulram,0,0,0,0,0,0,0,0,0,1
överge,0,0,0,1,0,1,0,1,0,0
övergiven,1,0,0,1,0,1,0,1,0,0
övergivenhet,1,0,0,1,0,1,0,1,1,0
avta,0,0,0,0,0,0,0,0,0,0
minskning,0,0,0,0,0,0,0,0,0,0
abba,0,0,0,0,0,0,1,0,0,0
abbot,0,0,0,0,0,0,0,0,0,1
förkorta,0,0,0,0,0,0,0,0,0,0
förkortning,0,0,0,0,0,0,0,0,0,0
buk,0,0,0,0,0,0,0,0,0,0
abdominal,0,0,0,0,0,0,0,0,0,0
bortförande,0,0,0,1,0,1,0,1,1,0
abnorm,0,0,0,0,0,1,0,0,0,0
avvikelse,0,0,1,0,0,1,0,0,0,0
uppehåll,0,0,0,0,0,0,0,0,0,0
avsky,1,0,1,1,0,1,0,0,0,0
motbjudande,1,0,1,1,0,1,0,0,0,0
vistas,0,0,0,0,0,0,0,0,0,0
förmåga,0,0,0,0,0,0,1,0,0,0
absurt,0,0,1,0,0,1,0,0,0,0
ablation,0,0,0,0,0,0,0,0,0,0
i lågor,0,0,0,0,0,0,0,0,0,0
onormal,0,0,1,0,0,1,0,0,0,0
ombord,0,0,0,0,0,0,0,0,0,0
boning,0,0,0,0,0,0,0,0,0,0
avskaffa,1,0,0,0,0,1,0,0,0,0
avskaffande,0,0,0,0,0,1,0,0,0,0
avskyvärd,0,0,1,1,0,1,0,0,0,0
avsky,1,0,1,1,0,1,0,0,0,0
ursprunglig,0,0,0,0,0,0,0,0,0,0
avbryta,0,0,0,0,0,1,0,0,0,0
abort,0,0,1,1,0,1,0,1,0,0
misslyckad,0,0,0,0,0,1,0,1,0,0
finnas i överflöd,0,0,0,0,0,0,0,0,0,0
ovan nämnda,0,0,0,0,0,0,1,0,0,0
abrasion,0,0,0,0,0,1,0,0,0,0
utomlands,0,0,0,0,0,0,0,0,0,0
avskaffa,0,0,0,0,0,1,0,0,0,0
abrupt,0,0,0,0,0,0,0,0,1,0
tvärt,0,0,0,0,0,0,0,0,0,0
böld,0,0,0,0,0,1,0,1,0,0
frånvaro,0,0,0,1,0,1,0,1,0,0
frånvarande,0,0,0,0,0,1,0,1,0,0
frånvarande,0,0,0,0,0,1,0,1,0,0
skolk,0,0,0,0,0,1,0,0,0,0
absint,0,0,0,0,0,0,0,0,0,0
absolut,0,0,0,0,0,0,1,0,0,0
absolution,0,0,0,0,1,0,1,0,0,1
absorberas,0,0,0,0,0,0,1,0,0,0
absorberande,0,0,0,0,0,0,0,0,0,0
absorberande,0,0,0,0,0,0,0,0,0,0
absorption,0,0,0,0,0,0,0,0,0,0
avstå,0,0,0,0,0,0,0,0,0,0
röstnedläggelse,0,0,0,0,0,0,0,0,0,0
nykterhet,0,0,0,0,0,0,0,0,0,0
abstrakt,0,0,0,0,0,0,0,0,0,0
abstraktion,0,0,0,0,0,0,0,0,0,0
absurd,0,0,0,0,0,1,0,0,0,0
absurditet,0,0,0,0,0,1,0,0,0,0
överflöd,0,1,1,0,1,1,1,0,0,1
riklig,0,0,0,0,1,0,1,0,0,0
missbruk,1,0,1,1,0,1,0,1,0,0
distans,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
bottenlös,0,0,0,0,0,1,0,1,0,0
avgrund,0,0,0,1,0,1,0,1,0,0
akademisk,0,0,0,0,0,0,1,0,0,1
akademi,0,0,0,0,0,0,1,0,0,0
gå med,0,0,0,0,0,0,0,0,0,0
accelerera,0,1,0,0,0,0,0,0,0,0
acceleration,0,0,0,0,0,0,0,0,0,0
accent,0,0,0,0,0,0,0,0,0,0
accentuera,0,0,0,0,0,0,0,0,0,0
acceptera,0,0,0,0,0,0,0,0,0,0
godtagbar,0,0,0,0,0,0,1,0,0,0
godkännande,0,0,0,0,0,0,1,0,0,0
tillgång,0,0,0,0,0,0,0,0,0,0
tillgänglig,0,0,0,0,0,0,1,0,0,0
anslutning,0,0,0,0,0,0,0,0,0,0
tillbehör,0,0,0,0,0,0,0,0,0,0
olycka,0,0,0,1,0,1,0,1,1,0
olycklig,0,0,0,1,0,1,0,0,1,0
av misstag,0,0,0,0,0,0,0,0,1,0
utmärkelse,0,1,0,0,1,0,1,0,1,1
rymma,0,0,0,0,0,0,0,0,0,0
boende,0,0,0,0,0,0,1,0,0,0
ackompanjemang,0,1,0,0,1,0,1,0,0,1
följa,0,0,0,0,0,0,0,0,0,0
medföljande,0,0,0,0,0,0,0,0,0,0
medbrottsling,0,0,0,0,0,0,0,0,0,0
utföra,0,0,0,0,1,0,1,0,0,0
skicklig,0,0,0,0,1,0,1,0,0,0
prestation,0,0,0,0,0,0,1,0,0,0
bevilja,0,0,0,0,0,0,1,0,0,1
överensstämmelse,0,0,0,0,0,0,0,0,0,0
dragspel,0,0,0,0,0,0,0,0,0,0
konto,0,0,0,0,0,0,0,0,0,1
ansvarighet,0,0,0,0,0,0,1,0,0,1
ansvarig,0,0,0,0,0,0,1,0,0,1
revisor,0,0,0,0,0,0,0,0,0,1
bokföring,0,0,0,0,0,0,0,0,0,0
konton,0,0,0,0,0,0,0,0,0,1
ackrediterad,0,0,0,0,0,0,1,0,0,1
anhopning,0,0,0,0,0,0,0,0,0,0
