Ukrainian Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
назад,0,0,0,0,0,0,0,0,0,0
рахівниця,0,0,0,0,0,0,0,0,0,1
відмовитися,0,0,0,1,0,1,0,1,0,0
покинутий,1,0,0,1,0,1,0,1,0,0
занедбаність,1,0,0,1,0,1,0,1,1,0
зменшуватися,0,0,0,0,0,0,0,0,0,0
зменшення,0,0,0,0,0,0,0,0,0,0
abba,0,0,0,0,0,0,1,0,0,0
настоятель,0,0,0,0,0,0,0,0,0,1
скорочувати,0,0,0,0,0,0,0,0,0,0
абревіатура,0,0,0,0,0,0,0,0,0,0
живіт,0,0,0,0,0,0,0,0,0,0
черевний,0,0,0,0,0,0,0,0,0,0
викрадення,0,0,0,1,0,1,0,1,1,0
ненормальний,0,0,0,0,0,1,0,0,0,0
аберація,0,0,1,0,0,1,0,0,0,0
бездіяльність,0,0,0,0,0,0,0,0,0,0
ненавидіти,1,0,1,1,0,1,0,0,0,0
огидний,1,0,1,1,0,1,0,0,0,0
дотримуватися,0,0,0,0,0,0,0,0,0,0
здатність,0,0,0,0,0,0,1,0,0,0
жалюгідний,0,0,1,0,0,1,0,0,0,0
абляція,0,0,0,0,0,0,0,0,0,0
палаючий,0,0,0,0,0,0,0,0,0,0
аномальний,0,0,1,0,0,1,0,0,0,0
на борту,0,0,0,0,0,0,0,0,0,0
місце проживання,0,0,0,0,0,0,0,0,0,0
скасувати,1,0,0,0,0,1,0,0,0,0
скасування,0,0,0,0,0,1,0,0,0,0
огидний,0,0,1,1,0,1,0,0,0,0
гидота,1,0,1,1,0,1,0,0,0,0
абориген,0,0,0,0,0,0,0,0,0,0
перервати,0,0,0,0,0,1,0,0,0,0
аборт,0,0,1,1,0,1,0,1,0,0
абортивний,0,0,0,0,0,1,0,1,0,0
рясніють,0,0,0,0,0,0,0,0,0,0
вищезазначений,0,0,0,0,0,0,1,0,0,0
стирання,0,0,0,0,0,1,0,0,0,0
за кордоном,0,0,0,0,0,0,0,0,0,0
скасувати,0,0,0,0,0,1,0,0,0,0
різкий,0,0,0,0,0,0,0,0,1,0
різко,0,0,0,0,0,0,0,0,0,0
абсцес,0,0,0,0,0,1,0,1,0,0
відсутність,0,0,0,1,0,1,0,1,0,0
відсутній,0,0,0,0,0,1,0,1,0,0
заочний,0,0,0,0,0,1,0,1,0,0
прогули,0,0,0,0,0,1,0,0,0,0
абсент,0,0,0,0,0,0,0,0,0,0
абсолютний,0,0,0,0,0,0,1,0,0,0
відпущення гріхів,0,0,0,0,1,0,1,0,0,1
поглинається,0,0,0,0,0,0,1,0,0,0
абсорбент,0,0,0,0,0,0,0,0,0,0
поглинаючий,0,0,0,0,0,0,0,0,0,0
поглинання,0,0,0,0,0,0,0,0,0,0
утриматись,0,0,0,0,0,0,0,0,0,0
утримання,0,0,0,0,0,0,0,0,0,0
утримання,0,0,0,0,0,0,0,0,0,0
анотація,0,0,0,0,0,0,0,0,0,0
абстракція,0,0,0,0,0,0,0,0,0,0
абсурд,0,0,0,0,0,1,0,0,0,0
абсурдність,0,0,0,0,0,1,0,0,0,0
достаток,0,1,1,0,1,1,1,0,0,1
рясні,0,0,0,0,1,0,1,0,0,0
зловживання,1,0,1,1,0,1,0,1,0,0
абатмент,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
безодні,0,0,0,0,0,1,0,1,0,0
безодня,0,0,0,1,0,1,0,1,0,0
академічний,0,0,0,0,0,0,1,0,0,1
академії,0,0,0,0,0,0,1,0,0,0
